"","observation_date","POILBREUSDQ","us_CPI","inflation_uk","gva_scot_service","gva_scot_production","gva_prod_mining","gva_prod_manufacture","gdp_UK_prod","gdp_uk","gdp_deflator","gvacp_allMill","gva_CP_oilandgasMill","uk_production","imports","exports","net_exports","demand_uk","supply_uk","aberdeen_unemp","scotland_unemp","UK_unemp"
"37",2013-01-01,112.874565217391,100.982,97.4,96.1069886446201,97.1,113.617515892285,93.9045446149006,95.7,94.9,96.85093464372,428276,5234,10006.35,14510.54,8685.58,-5824.96,16671.01,16577.79,4.59999990463257,7.69999980926514,7.5
"38",2013-04-01,103.004137022398,101.057,98.1,96.5140935282914,98.9,106.266669346118,95.8011046046786,96,95.3,96.9968710038996,431386,4886,9728.7,16344.48,8649.4,-7695.08,17391.91,17370.44,5,7.40000009536743,7.2
"39",2013-07-01,110.100838509317,101.466,98.4,97.0747452066467,97.9,103.989666562025,96.0284477500956,96.7,96,98.0715943034529,435173,5135,8646.83,15145.4,7452.04,-7693.36,16969.49,17020.63,4.90000009536743,7.09999990463257,6.9
"40",2013-10-01,109.396477821695,101.88,98.9,97.5002636995587,98.6,109.559734975267,96.1837534165344,97.1,96.3,98.6642146402473,438094,5043,10074.48,12966.32,8318.14,-4648.18,14939.49,14959.22,5,6.5,6.5
"41",2014-01-01,107.929383022774,102.357,99,97.5248979242739,101.4,116.524625081054,99.5636072271782,97.5,96.8,98.9312460307184,441480,4770,10368.89,13017.95,8001.18,-5016.77,15517.21,15538.69,4.5,6.19999980926514,6.2
"42",2014-04-01,109.806645021645,102.846,99.7,98.2800462091115,101.9,123.796544739506,99.8760497686568,97.7,97.2,99.157537679776,444490,4443,9634.48,12481.25,7446.45,-5034.8,15134.49,15132.07,4.30000019073486,6.19999980926514,6
"43",2014-07-01,102.080596022335,103.123,99.8,98.785736599887,102.1,123.7688230419,102.162182925928,98.1,97.6,99.7321665895335,447343,3807,7691.62,13963.97,6906.21,-7057.76,15270.23,15246.23,4.09999990463257,5.90000009536743,5.6
"44",2014-10-01,75.9568695652174,102.992,100,98.6274212019525,103.1,123.646017153914,102.797328746712,98.2,97.9,99.5445389538714,449924,3098,9779.28,14174.37,8515.06,-5659.31,15140.62,15149.07,4.30000019073486,6,5.4
"45",2015-01-01,54.0462272727273,102.552,99.4,98.6776635022538,103.5,119.911729126639,102.172991030954,98.7,98.3,99.6440771478071,451703,2239,10162.61,12037.06,8095.88,-3941.18,14633.03,14618.36,4.5,5.80000019073486,5.2
"46",2015-04-01,62.098961038961,103.057,100,98.4556802417563,102.4,113.837278661096,100.032027251092,99.4,98.8,100.388735397861,454946,2727,11363.61,12034.81,9309.1,-2725.71,14102.55,14100.96,5,5.69999980926514,5.1
"47",2015-07-01,50.0314944475814,103.322,100.2,98.4794912713374,100.3,108.613869596351,100.274634257203,98.9,99,100.161442978243,456619,2332,9895.32,12979.05,7908.26,-5070.79,16347.25,16331.22,5.09999990463257,5.40000009536743,5.1
"48",2015-10-01,43.4209909655562,103.243,100.4,98.8084440962214,101.6,108.372124870511,102.256322851309,98.5,99.5,99.8045256084136,459290,1846,11404.34,13548.09,8396.19,-5151.9,16307.98,16287.31,4.90000009536743,4.90000009536743,4.9
"49",2016-01-01,34.3577225672878,103.325,100.1,99.3432916696045,99.9,98.5182690141617,99.8209320470037,98.8,99.5,100.971868101253,460435,1471,11815.93,11478.57,10089.94,-1388.63,14221.39,14224.64,5.30000019073486,4.80000019073486,4.8
"50",2016-04-01,45.9528427128427,103.944,100.8,99.7635032385845,100.7,98.7794886528809,101.567894895204,100.8,99.8,102.03657597231,462478,2124,11347.39,11846.32,7976.12,-3870.2,15240.19,15273.85,4.80000019073486,4.40000009536743,4.7
